species	genus	host	accession	genome_bp	aa_pathways_retained	symbiosis_age_mya
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP028359.1	156578	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP142806.1	188541	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176558.1	273775	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176557.1	267001	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176556.1	273431	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176555.1	244998	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176554.1	273174	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176553.1	273942	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176552.1	272934	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176551.1	273110	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176550.1	271463	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176549.1	250223	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176548.1	274354	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176547.1	272132	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176546.1	272467	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176545.1	273397	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176544.1	273397	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176543.1	274007	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176542.1	272093	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CP176541.1	268835	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_QWZP00000000.1	253942	8	260
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094189.1	111527	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094195.1	111869	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094194.1	107786	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094181.1	112473	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094190.1	109972	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094192.1	111471	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094197.1	112590	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094193.1	112724	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094196.1	112119	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CM155245.1	106162	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CM155246.1	106174	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CM155244.1	106173	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CM153196.1	106256	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CM153194.1	106252	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CM153191.1	106118	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CM153190.1	106178	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP142807.1	107039	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP199870.1	108468	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP195846.1	108461	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	NZ_CP094191.1	111644	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP129522.1	121476	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	AP028058.1	113316	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094188.1	113174	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094187.1	116146	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094186.1	113015	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094185.1	111534	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094184.1	112892	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094183.1	113390	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094182.1	112105	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP094180.1	113098	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP024850.1	113652	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP060019.1	113715	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP021173.1	144602	4	80
Candidatus Nasuia deltocephalincola	Nasuia	leafhopper	CP013211.1	112031	4	80
Candidatus Nasuia deltocephalinicola str. NAS-ALF	Nasuia	leafhopper	CP006059.1	112091	4	80
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP154721.1	182872	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP154722.1	143372	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP154720.1	147950	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP154719.1	149494	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP154640.1	149520	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP154718.1	149548	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP152464.1	113974	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP152463.1	139260	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP152462.1	137181	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP154717.1	149829	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP152461.1	114469	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP152299.1	146497	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP178247.1	115562	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP178246.1	117350	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP118773.1	143746	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP119778.1	130417	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP119775.1	121230	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP119777.1	119979	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP119776.1	111516	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	QEXT01000012.1	117430	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025310.1	105760	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025405.1	140417	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025404.1	137055	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025406.1	133249	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025316.1	125912	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025311.1	116502	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025312.1	129059	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP025313.1	129540	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP024987.1	148642	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP024748.1	145143	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP024747.1	130881	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP024746.1	128037	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP024745.1	126271	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP024744.1	121924	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	NXGT01000073.1	111394	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP007233.1	140570	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP007232.1	133698	5	100
Candidatus Hodgkinia cicadicola	Hodgkinia	cicada	CP008699.1	150297	5	100
Candidatus Hodgkinia cicadicola Dsem	Hodgkinia	cicada	CP001226.1	143795	5	100
